Date,IT Dep.,CostElement,Country,Budget
1/6/2020,Architecture,Travel,USA,655
1/7/2020,Architecture,Travel,USA,655
1/8/2020,Architecture,Travel,USA,655
1/9/2020,Architecture,Travel,USA,655
1/10/2020,Architecture,Travel,USA,655
1/11/2020,Architecture,Travel,USA,655
1/6/2020,Business Intelligence,Administrative,USA,"-4,200"
1/7/2020,Business Intelligence,Administrative,USA,"-4,200"
1/8/2020,Business Intelligence,Administrative,USA,"-4,200"
1/9/2020,Business Intelligence,Administrative,USA,"-4,200"
1/10/2020,Business Intelligence,Administrative,USA,"-4,200"
1/11/2020,Business Intelligence,Administrative,USA,"-4,200"
1/12/2020,Business Intelligence,Administrative,USA,"-4,200"
1/1/2020,Business Intelligence,Employee Performance,USA,101
1/2/2020,Business Intelligence,Employee Performance,USA,101
1/3/2020,Business Intelligence,Employee Performance,USA,101
1/4/2020,Business Intelligence,Employee Performance,USA,101
1/5/2020,Business Intelligence,Employee Performance,USA,101
1/6/2020,Business Intelligence,Employee Performance,USA,101
1/7/2020,Business Intelligence,Employee Performance,USA,101
1/8/2020,Business Intelligence,Employee Performance,USA,101
1/9/2020,Business Intelligence,Employee Performance,USA,101
1/10/2020,Business Intelligence,Employee Performance,USA,101
1/11/2020,Business Intelligence,Employee Performance,USA,101
1/12/2020,Business Intelligence,Employee Performance,USA,101
1/1/2020,Business Intelligence,External Labor,USA,"10,271"
1/2/2020,Business Intelligence,External Labor,USA,"10,271"
1/3/2020,Business Intelligence,External Labor,USA,"10,271"
1/4/2020,Business Intelligence,External Labor,USA,"10,271"
1/5/2020,Business Intelligence,External Labor,USA,"10,271"
1/6/2020,Business Intelligence,External Labor,USA,"15,389"
1/7/2020,Business Intelligence,External Labor,USA,"15,389"
1/8/2020,Business Intelligence,External Labor,USA,"15,389"
1/9/2020,Business Intelligence,External Labor,USA,"15,389"
1/10/2020,Business Intelligence,External Labor,USA,"15,389"
1/11/2020,Business Intelligence,External Labor,USA,"15,389"
1/12/2020,Business Intelligence,External Labor,USA,"15,389"
1/1/2020,Business Intelligence,Hardware,USA,125
1/2/2020,Business Intelligence,Hardware,USA,125
1/3/2020,Business Intelligence,Hardware,USA,125
1/4/2020,Business Intelligence,Hardware,USA,125
1/5/2020,Business Intelligence,Hardware,USA,125
1/6/2020,Business Intelligence,Hardware,USA,125
1/7/2020,Business Intelligence,Hardware,USA,125
1/8/2020,Business Intelligence,Hardware,USA,125
1/9/2020,Business Intelligence,Hardware,USA,125
1/10/2020,Business Intelligence,Hardware,USA,125
1/11/2020,Business Intelligence,Hardware,USA,125
1/12/2020,Business Intelligence,Hardware,USA,125
1/1/2020,Business Intelligence,Hardware Maintenance,USA,125
1/2/2020,Business Intelligence,Hardware Maintenance,USA,125
1/3/2020,Business Intelligence,Hardware Maintenance,USA,125
1/4/2020,Business Intelligence,Hardware Maintenance,USA,125
1/5/2020,Business Intelligence,Hardware Maintenance,USA,125
1/6/2020,Business Intelligence,Hardware Maintenance,USA,125
1/7/2020,Business Intelligence,Hardware Maintenance,USA,125
1/8/2020,Business Intelligence,Hardware Maintenance,USA,125
